problem,form,note,tactic,result,apply_ms,solve_ms,total_ms,workers
sum_bwd,recfun,"backward synthesis, K=140",uflra,tactic_to,5005.73,0.0,5005.73,20
sum_bwd,recfun,"backward synthesis, K=140",auflia,tactic_to,5003.62,0.0,5003.62,20
sum_bwd,recfun,"backward synthesis, K=140",auflira,tactic_to,5000.75,0.0,5000.75,20
sum_bwd,recfun,"backward synthesis, K=140",aufnira,tactic_to,5005.75,0.0,5005.75,20
sum_bwd,recfun,"backward synthesis, K=140",euf-completion,sat,74.58,13814.15,13888.73,20
sum_bwd,recfun,"backward synthesis, K=140",qffd,sat,0.31,17367.75,17368.06,20
sum_bwd,recfun,"backward synthesis, K=140",lra,tactic_to,5002.02,0.0,5002.02,20
sum_bwd,recfun,"backward synthesis, K=140",lia,tactic_to,5006.52,0.0,5006.52,20
sum_bwd,recfun,"backward synthesis, K=140",lira,tactic_to,5001.43,0.0,5001.43,20
sum_bwd,recfun,"backward synthesis, K=140",smt,tactic_to,5009.69,0.0,5009.69,20
sum_bwd,recfun,"backward synthesis, K=140",bv,tactic_to,5008.35,0.0,5008.35,20
sum_bwd,recfun,"backward synthesis, K=140",ufbv,tactic_to,5008.46,0.0,5008.46,20
sum_bwd,recfun,"backward synthesis, K=140",qfnra,sat,24.63,13962.16,13986.79,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qsat,tactic_to,5000.92,0.0,5000.92,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qe2,tactic_to,5001.1,0.0,5001.1,20
wide_sum,recfun,"8 independent recfun symbols, each backward",subpaving,sat,0.77,7855.2,7855.97,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qe-light,sat,0.11,7829.63,7829.73,20
wide_sum,recfun,"8 independent recfun symbols, each backward",nlsat,sat,3.18,8647.55,8650.73,20
wide_sum,recfun,"8 independent recfun symbols, each backward",(none),sat,0.0,11393.42,11393.42,20
sum_bwd,recfun,"backward synthesis, K=140",simplify>solve-eqs,sat,0.05,13263.39,13263.44,20
sum_bwd,recfun,"backward synthesis, K=140",skip,sat,0.04,14728.39,14728.43,20
wide_sum,recfun,"8 independent recfun symbols, each backward",add-bounds,unsat,0.14,62.92,63.06,20
sum_bwd,recfun,"backward synthesis, K=140",macro-finder,sat,0.02,15004.84,15004.85,20
sum_bwd,recfun,"backward synthesis, K=140",propagate-values>solve-eqs,sat,0.07,13590.54,13590.61,20
sum_bwd,recfun,"backward synthesis, K=140",propagate-values>simplify,sat,0.04,13489.86,13489.91,20
wide_sum,recfun,"8 independent recfun symbols, each backward",psmt,sat,3177.12,0.05,3177.17,20
sum_bwd,recfun,"backward synthesis, K=140",elim-term-ite>simplify,sat,0.05,13874.64,13874.68,20
sum_bwd,recfun,"backward synthesis, K=140",quasi-macros,sat,0.04,15583.59,15583.63,20
sum_bwd,recfun,"backward synthesis, K=140",ufbv-rewriter,sat,0.04,15641.55,15641.59,20
wide_sum,recfun,"8 independent recfun symbols, each backward",lia2pb,tactic_err,0.15,0.0,0.15,20
sum_bwd,recfun,"backward synthesis, K=140",simplify>propagate-values,sat,6.6,14742.84,14749.44,20
sum_bwd,recfun,"backward synthesis, K=140",solve-eqs>simplify,sat,0.05,13813.36,13813.41,20
wide_sum,recfun,"8 independent recfun symbols, each backward",ctx-solver-simplify,tactic_to,5011.74,0.0,5011.74,20
wide_sum,recfun,"8 independent recfun symbols, each backward",ackermannize_bv,sat,0.07,14462.14,14462.21,20
wide_sum,recfun,"8 independent recfun symbols, each backward",sat-preprocess,sat,3.61,7702.19,7705.8,20
wide_sum,recfun,"8 independent recfun symbols, each backward",unit-subsume-simplify,sat,798.58,5521.83,6320.41,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qe_rec,sat,0.05,10840.97,10841.02,20
wide_sum,recfun,"8 independent recfun symbols, each backward",fix-dl-var,sat,0.04,7288.3,7288.34,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfnra-nlsat,sat,30.25,18624.68,18654.93,20
wide_sum,recfun,"8 independent recfun symbols, each backward",aig,sat,0.05,8863.76,8863.81,20
wide_sum,recfun,"8 independent recfun symbols, each backward",factor,sat,0.08,7774.94,7775.02,20
wide_sum,recfun,"8 independent recfun symbols, each backward",purify-arith,sat,0.07,7460.76,7460.83,20
wide_sum,recfun,"8 independent recfun symbols, each backward",eq2bv,sat,0.03,8376.92,8376.95,20
wide_sum,recfun,"8 independent recfun symbols, each backward",fm,sat,0.05,8617.11,8617.16,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qe,unknown,0.05,20029.68,20029.73,20
wide_sum,recfun,"8 independent recfun symbols, each backward",recover-01,sat,0.05,8844.46,8844.51,20
wide_sum,recfun,"8 independent recfun symbols, each backward",psat,sat,842.52,14944.84,15787.36,20
wide_sum,recfun,"8 independent recfun symbols, each backward",bv1-blast,sat,0.05,8045.47,8045.53,20
wide_sum,recfun,"8 independent recfun symbols, each backward",card2bv,sat,0.06,12775.52,12775.59,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-ineqs,sat,0.6,11802.43,11803.04,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-bv-bounds2,sat,0.11,7514.64,7514.74,20
wide_sum,recfun,"8 independent recfun symbols, each backward",sat,sat,890.45,18681.0,19571.45,20
wide_sum,recfun,"8 independent recfun symbols, each backward",bvarray2uf,sat,0.04,7581.3,7581.34,20
wide_sum,recfun,"8 independent recfun symbols, each backward",bv-slice,sat,0.05,8062.04,8062.09,20
wide_sum,recfun,"8 independent recfun symbols, each backward",bit-blast,sat,0.05,14105.68,14105.73,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-bv-bounds,sat,0.05,12151.22,12151.27,20
wide_sum,recfun,"8 independent recfun symbols, each backward",bv_bound_chk,sat,0.06,12701.55,12701.6,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-small-bv,sat,0.04,9274.7,9274.74,20
wide_sum,recfun,"8 independent recfun symbols, each backward",dt2bv,sat,0.03,9439.25,9439.27,20
wide_sum,recfun,"8 independent recfun symbols, each backward",degree-shift,sat,0.05,18005.3,18005.35,20
wide_sum,recfun,"8 independent recfun symbols, each backward",cofactor-term-ite,sat,0.06,7765.04,7765.1,20
wide_sum,recfun,"8 independent recfun symbols, each backward",max-bv-sharing,sat,0.05,10103.17,10103.22,20
wide_sum,recfun,"8 independent recfun symbols, each backward",ctx-simplify,sat,0.14,8919.34,8919.48,20
wide_sum,recfun,"8 independent recfun symbols, each backward",normalize-bounds,sat,0.05,19815.3,19815.34,20
wide_sum,recfun,"8 independent recfun symbols, each backward",lia2card,unknown,1.11,20025.83,20026.93,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-term-ite,sat,0.13,7583.66,7583.78,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-uncnstr2,sat,0.13,7928.46,7928.59,20
wide_sum,recfun,"8 independent recfun symbols, each backward",distribute-forall,sat,0.04,8965.68,8965.72,20
wide_sum,recfun,"8 independent recfun symbols, each backward",demodulator,sat,0.54,12318.05,12318.59,20
wide_sum,recfun,"8 independent recfun symbols, each backward",der,sat,0.04,12168.35,12168.39,20
wide_sum,recfun,"8 independent recfun symbols, each backward",nnf,sat,0.04,7232.76,7232.8,20
wide_sum,recfun,"8 independent recfun symbols, each backward",snf,sat,0.03,7763.17,7763.2,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-values2,sat,0.09,6619.58,6619.67,20
wide_sum,recfun,"8 independent recfun symbols, each backward",reduce-bv-size,sat,0.04,18580.43,18580.48,20
wide_sum,recfun,"8 independent recfun symbols, each backward",pqffd,tactic_err,33.87,0.0,33.87,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-predicates,sat,0.8,10095.37,10096.17,20
wide_sum,recfun,"8 independent recfun symbols, each backward",pb-preprocess,sat,0.05,9428.25,9428.3,20
wide_sum,recfun,"8 independent recfun symbols, each backward",blast-term-ite,sat,0.06,18370.79,18370.85,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-values,sat,0.05,8061.02,8061.07,20
wide_sum,recfun,"8 independent recfun symbols, each backward",collect-statistics,sat,0.68,17528.37,17529.05,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-uncnstr,sat,0.05,13997.65,13997.7,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qffd,sat,0.53,4895.48,4896.01,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfbv-sls,tactic_err,0.2,0.0,0.2,20
wide_sum,recfun,"8 independent recfun symbols, each backward",sls-smt,tactic_err,0.24,0.0,0.24,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qffpbv,sat,3073.57,0.05,3073.62,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-and,sat,0.08,7423.23,7423.31,20
wide_sum,recfun,"8 independent recfun symbols, each backward",simplify,sat,0.04,8370.36,8370.41,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qffp,tactic_to,5007.52,0.0,5007.52,20
wide_sum,recfun,"8 independent recfun symbols, each backward",injectivity,sat,0.06,14947.94,14948.0,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qffplra,tactic_to,5023.93,0.0,5023.93,20
wide_sum,recfun,"8 independent recfun symbols, each backward",tseitin-cnf-core,sat,0.03,7664.14,7664.18,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfnia,sat,90.36,0.04,90.41,20
wide_sum,recfun,"8 independent recfun symbols, each backward",default,tactic_to,5005.27,0.0,5005.27,20
wide_sum,recfun,"8 independent recfun symbols, each backward",solve-eqs,sat,0.09,9472.83,9472.93,20
wide_sum,recfun,"8 independent recfun symbols, each backward",nra,sat,2764.67,0.04,2764.71,20
wide_sum,recfun,"8 independent recfun symbols, each backward",tseitin-cnf,sat,0.03,8685.5,8685.53,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfaufbv,sat,2744.65,0.05,2744.7,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfauflia,sat,2776.18,0.05,2776.23,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfbv,sat,2879.53,0.04,2879.57,20
wide_sum,recfun,"8 independent recfun symbols, each backward",dom-simplify,unknown,0.19,20020.7,20020.88,20
wide_sum,recfun,"8 independent recfun symbols, each backward",solver-subsumption,tactic_to,5003.21,0.0,5003.21,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfufbv_ackr,sat,2711.28,0.05,2711.32,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfuf,sat,2877.29,0.13,2877.41,20
wide_sum,recfun,"8 independent recfun symbols, each backward",uflra,sat,2682.98,0.05,2683.03,20
wide_sum,recfun,"8 independent recfun symbols, each backward",auflia,sat,2689.08,0.05,2689.12,20
wide_sum,recfun,"8 independent recfun symbols, each backward",symmetry-reduce,sat,0.07,11962.15,11962.22,20
wide_sum,recfun,"8 independent recfun symbols, each backward",ufnia,sat,3125.31,0.05,3125.37,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfufbv,sat,3359.34,0.04,3359.38,20
