problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
wrap_double,inline,"non-recursive, nested 2x",pb-preprocess,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",propagate-values2,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",propagate-values,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",reduce-args,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",reduce-args2,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",simplify,sat,0.04,0.33,0.37
wrap_double,inline,"non-recursive, nested 2x",elim-and,sat,0.03,0.36,0.39
wrap_double,inline,"non-recursive, nested 2x",solve-eqs,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",special-relations,sat,0.07,0.33,0.4
wrap_double,inline,"non-recursive, nested 2x",split-clause,tactic_err,0.03,0.0,0.03
wrap_double,inline,"non-recursive, nested 2x",symmetry-reduce,sat,0.03,0.41,0.44
wrap_double,inline,"non-recursive, nested 2x",tseitin-cnf,sat,0.02,0.41,0.43
wrap_double,inline,"non-recursive, nested 2x",tseitin-cnf-core,sat,0.02,0.36,0.38
wrap_double,inline,"non-recursive, nested 2x",qffd,sat,0.33,0.07,0.4
wrap_double,inline,"non-recursive, nested 2x",pqffd,sat,4.22,0.03,4.25
wrap_double,inline,"non-recursive, nested 2x",smtfd,tactic_to,1506.21,0.0,1506.21
wrap_double,inline,"non-recursive, nested 2x",fpa2bv,sat,0.03,0.45,0.48
wrap_double,inline,"non-recursive, nested 2x",qffp,sat,0.23,0.02,0.25
wrap_double,inline,"non-recursive, nested 2x",qffpbv,sat,0.13,0.02,0.15
wrap_double,inline,"non-recursive, nested 2x",qffplra,sat,0.13,0.02,0.15
wrap_double,inline,"non-recursive, nested 2x",default,sat,0.33,0.02,0.35
wrap_double,inline,"non-recursive, nested 2x",euf-completion,sat,0.2,0.02,0.22
wrap_double,inline,"non-recursive, nested 2x",solver-subsumption,sat,0.24,0.4,0.64
wrap_double,inline,"non-recursive, nested 2x",qfbv-sls,sat,0.06,0.03,0.09
wrap_double,inline,"non-recursive, nested 2x",sls-smt,sat,0.05,0.02,0.07
wrap_double,inline,"non-recursive, nested 2x",nra,sat,0.17,0.02,0.19
