task,scale,encoding,theories,combo,combo_len,result,ok,tactic_ms,solve_ms,total_ms,rlimit
dispatch,50,ite,bool+int,(none),0,sat,True,0.0,0.42,0.42,1392
dispatch,50,ite,bool+int,simplify,1,sat,True,0.05,0.37,0.42,789
dispatch,50,ite,bool+int,propagate-values,1,sat,True,0.01,0.39,0.4,1392
dispatch,50,ite,bool+int,solve-eqs,1,sat,True,0.02,0.38,0.4,1398
dispatch,50,ite,bool+int,elim-term-ite,1,sat,True,0.07,1.94,2.01,25136
dispatch,50,ite,bool+int,propagate-ineqs,1,sat,True,0.08,0.36,0.44,895
dispatch,50,ite,bool+int,ctx-simplify,1,sat,True,0.05,0.38,0.43,1646
dispatch,50,ite,bool+int,simplify[blast_select_store=True],1,sat,True,0.04,0.36,0.4,789
dispatch,50,ite,bool+int,simplify>simplify,2,sat,True,0.06,0.35,0.41,842
dispatch,50,ite,bool+int,simplify>propagate-values,2,sat,True,0.06,0.32,0.38,388
dispatch,50,ite,bool+int,simplify>solve-eqs,2,sat,True,0.08,0.02,0.1,484
dispatch,50,ite,bool+int,simplify>elim-term-ite,2,sat,True,0.05,0.35,0.4,842
dispatch,50,ite,bool+int,simplify>propagate-ineqs,2,sat,True,0.07,0.35,0.42,855
dispatch,50,ite,bool+int,simplify>ctx-simplify,2,sat,True,0.06,0.32,0.38,418
dispatch,50,ite,bool+int,simplify>simplify[blast_select_store=True],2,sat,True,0.05,0.35,0.4,842
dispatch,50,ite,bool+int,propagate-values>simplify,2,sat,True,0.05,0.35,0.4,788
dispatch,50,ite,bool+int,propagate-values>propagate-values,2,sat,True,0.01,0.41,0.42,1392
dispatch,50,ite,bool+int,propagate-values>solve-eqs,2,sat,True,0.02,0.38,0.4,1398
dispatch,50,ite,bool+int,propagate-values>elim-term-ite,2,sat,True,0.06,1.9,1.96,23292
dispatch,50,ite,bool+int,propagate-values>propagate-ineqs,2,sat,True,0.08,0.38,0.46,895
dispatch,50,ite,bool+int,propagate-values>ctx-simplify,2,sat,True,0.04,0.39,0.43,1646
dispatch,50,ite,bool+int,propagate-values>simplify[blast_select_store=True],2,sat,True,0.05,0.37,0.42,789
dispatch,50,ite,bool+int,solve-eqs>simplify,2,sat,True,0.06,0.35,0.41,794
dispatch,50,ite,bool+int,solve-eqs>propagate-values,2,sat,True,0.02,0.38,0.4,1398
dispatch,50,ite,bool+int,solve-eqs>solve-eqs,2,sat,True,0.02,0.38,0.4,1404
dispatch,50,ite,bool+int,solve-eqs>elim-term-ite,2,sat,True,0.07,1.89,1.96,23254
dispatch,50,ite,bool+int,solve-eqs>propagate-ineqs,2,sat,True,0.08,0.36,0.44,901
dispatch,50,ite,bool+int,solve-eqs>ctx-simplify,2,sat,True,0.05,0.39,0.44,1652
dispatch,50,ite,bool+int,solve-eqs>simplify[blast_select_store=True],2,sat,True,0.05,0.36,0.41,795
dispatch,50,ite,bool+int,elim-term-ite>simplify,2,sat,True,0.1,2.18,2.28,25411
dispatch,50,ite,bool+int,elim-term-ite>propagate-values,2,sat,True,0.22,2.19,2.41,26970
dispatch,50,ite,bool+int,elim-term-ite>solve-eqs,2,sat,True,0.2,1.87,2.07,25418
